Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#LikeAGirl,OloriMelanin,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Mar,False,632,False,0
#LikeAGirl,Hannah_Maree542,RT @EmWatson: My friend @lucywalkerfilm directed this: https://t.co/u7R5sAbD73 and it's bloody brilliant. Watch watch watch  #likeagirl #IW…,2014,Feb,False,1010,False,0
#LikeAGirl,naniepie,|RT @IDFSpokesperson: Thank you for showing us, day &amp; night, how to do it #LikeAGirl. We salute you! Happy International #WomensDay2016 http…|,2010,Jan,False,355,False,0
#LikeAGirl,cesytoosexy,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Dec,False,632,False,0
#LikeAGirl,dimelooopapiii,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2016,Jan,False,1230,False,0
#LikeAGirl,lmrath,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2009,May,False,632,False,0
#LikeAGirl,lisajsierra,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/hhWQTLdufi,2016,Feb,False,0,False,0
#LikeAGirl,brooke_arklie,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/zX9s2Z2kSk,2015,Oct,False,0,False,0
#LikeAGirl,eurofitsara,|RT @Luetke9: Let's get more girls playing hockey! https://t.co/4aYxV3KWx8
#FirstStride #TotalHockey #LikeAGirl #STLLadyCyclones|,2014,Dec,False,6,False,0
#LikeAGirl,Sweetfrozensuga,I liked a @YouTube video https://t.co/0woufn9aPv Re:#LikeAGirl,2014,Mar,False,0,False,0
#LikeAGirl,mrs_styles_31,|I would like to see color guard emojis, with a girl spinning a flag, rifle, saber, and airblade...also, a tarp would be cool!😅😘 #LikeAGirl|,2014,Aug,False,0,False,0
#LikeAGirl,a_aron_drummond,|RT @Luetke9: Let's get more girls playing hockey! https://t.co/4aYxV3KWx8
#FirstStride #TotalHockey #LikeAGirl #STLLadyCyclones|,2014,Nov,False,6,False,0
#LikeAGirl,__shirls,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2012,Jan,False,632,False,0
#LikeAGirl,DebraRussell1,“@Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch #LikeAGirl https://t.co/KpGUXy7qeH”,2011,Jul,False,0,False,0
#LikeAGirl,WhatsnuGm,|RT @IDFSpokesperson: As commander of the #Cyber Defense situation room, Lt. V defies the glass ceiling. #LikeAGirl https://t.co/OIQ7RErBBT|,2012,Nov,False,90,False,0
#LikeAGirl,recruitradical,RT I like to play #LikeAGirl  https://t.co/uaeuJbN2J6,2011,Jan,False,0,False,0
#LikeAGirl,CondomNoHuggies,|RT @Always: Girls send over a BILLION emojis every day. 👸💄👰. But do these emojis represent them? Watch &amp; share: #LIKEAGIRL
https://t.co/cH1…|,2011,Nov,False,1230,False,0
#LikeAGirl,ruizcg58,|RT @Always: .@FLOTUS Great idea, girls can be anything! Let's do this! #LetGirlsLearn #LikeAGirl https://t.co/ZQQqlYbMx0|,2010,Oct,False,3867,False,0
#LikeAGirl,ShannonFentiman,Great cricket &amp; a great way to end our first #qldwomensweek #likeagirl  https://t.co/c0ak5ROAcF,2013,Nov,False,1,False,1
#LikeAGirl,Sidzother,|My sister, an engineer, has applied to be an astronaut #LikeAGirl who isn't fragile enough to quit science over tactless remarks made by men|,2016,Mar,False,0,False,0
#LikeAGirl,Dukelev,|RT @IDFSpokesperson: As commander of the #Cyber Defense situation room, Lt. V defies the glass ceiling. #LikeAGirl https://t.co/OIQ7RErBBT|,2012,Jan,False,90,False,0
#LikeAGirl,AsuntiDempsey,#LikeAGirl a girl playing field hockey emoji,2013,Mar,False,0,False,0
#LikeAGirl,jade041603,#LikeAGirl an emoji with a girl on a skateboard in mid kick flip would be awesome. It would describe me in 1 picture,2014,Jul,False,0,False,0
#LikeAGirl,kxyla7,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/zCFVQNuCc0,2015,Apr,False,0,False,0
#LikeAGirl,Mayqueen96,|RT @IDFSpokesperson: As commander of the #Cyber Defense situation room, Lt. V defies the glass ceiling. #LikeAGirl https://t.co/OIQ7RErBBT|,2013,Jun,False,90,False,0
#LikeAGirl,alainatrongo,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2012,Aug,False,632,False,0
#LikeAGirl,toastermuke,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Mar,False,632,False,0
#LikeAGirl,a_farm1,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2015,Nov,False,632,False,0
#LikeAGirl,tilLAME,|My thoughts on @Always #LikeAGirl Campaign
https://t.co/sQlxvjSohy …
#UFPUR4932|,2011,May,False,0,False,0
#LikeAGirl,luis_chamizas,|RT @IDFSpokesperson: Thank you for showing us, day &amp; night, how to do it #LikeAGirl. We salute you! Happy International #WomensDay2016 http…|,2013,Jul,False,355,False,0
#LikeAGirl,luis_chamizas,|RT @IDFSpokesperson: As commander of the #Cyber Defense situation room, Lt. V defies the glass ceiling. #LikeAGirl https://t.co/OIQ7RErBBT|,2013,Jul,False,90,False,0
#LikeAGirl,ammeliaaaaa,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2014,Mar,False,632,False,0
#LikeAGirl,kcetebn,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2011,Jun,False,632,False,0
#LikeAGirl,sflewelling_,Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/8DkqiztTeS,2013,Mar,False,0,False,0
#LikeAGirl,ArianaDesiree_,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2010,May,False,632,False,0
#LikeAGirl,SamanthaKrupa,What #girls want from social media! #likeagirl #BPRcommunity   https://t.co/W7LPQ8tEXw,2012,Jan,False,0,False,1
#LikeAGirl,haroldshoneybun,💪🏽Let's make emojis as unstoppable as girls. What girl emoji do you want to see? #LikeAGirl https://t.co/H64jwtTpb1,2013,Apr,False,0,False,0
#LikeAGirl,RevolutionaryAM,|RT @Always: 76% of girls think female emojis shouldn't only be portrayed doing feminine activities. Watch &amp; share! #LikeAGirl
https://t.co/…|,2009,Nov,False,632,False,0
