Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,Lamona_17,RT @InspirefestHQ: .@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isis…,2016,Feb,False,5,False,0
#ILookLikeAnEngineer,UtilityAPI,To the ALL WOMEN voting panel last night for @sfpythonmeetup: THANK YOU! We're going to @pycon! #ILookLikeAnEngineer https://t.co/B40M3uIgeW,2014,Mar,False,1,False,1
#ILookLikeAnEngineer,wearehive,Hacking our door bell #slack #hack #girlpower #girlthatcodes #ilooklikeanengineer #electronics #diy https://t.co/6gKfV5zHpt,2011,Nov,False,1,False,0
#ILookLikeAnEngineer,UIowaEngr,|RT @UIowaChemE: @andrea_diaz_5, 1 of 35% of female undergrads in our program #ILookLikeAnEngineer https://t.co/P3JMFcdvqo https://t.co/jNJx…|,2010,Aug,False,2,False,0
#ILookLikeAnEngineer,AndreaZeek,|RT @UIowaChemE: @andrea_diaz_5, 1 of 35% of female undergrads in our program #ILookLikeAnEngineer https://t.co/P3JMFcdvqo https://t.co/jNJx…|,2009,Apr,False,2,False,0
#ILookLikeAnEngineer,MsPrebeck,RT @MissBurnheimer: Design and build a freestanding clock tower set to 3:00 with moving hands! #ILookLikeAnEngineer https://t.co/S4n4rke9vQ,2014,Jun,False,2,False,0
#ILookLikeAnEngineer,EvangelistaLab,Naturally manikin in flt suit in ej chair needs bunny slippers #stem #ilooklikeanengineer #usna #gonavy https://t.co/afMCTMKIIu,2010,Nov,False,0,False,2
#ILookLikeAnEngineer,MissBurnheimer,Design and build a freestanding clock tower set to 3:00 with moving hands! #ILookLikeAnEngineer https://t.co/S4n4rke9vQ,2014,Aug,False,2,False,4
#ILookLikeAnEngineer,UIowaChemE,|@andrea_diaz_5, 1 of 35% of female undergrads in our program #ILookLikeAnEngineer https://t.co/P3JMFcdvqo https://t.co/jNJxceICB0|,2012,Oct,False,2,False,2
#ILookLikeAnEngineer,uiowa_mie,|RT @UIowaEngr: Meet Mariama Corneh, a junior @uiowa_mie major: https://t.co/0kxwrr1SiJ #ILookLikeAnEngineer https://t.co/6l5om99Iwj|,2015,Oct,False,4,False,0
#ILookLikeAnEngineer,AndreaZeek,|RT @UIowaEngr: Meet Mariama Corneh, a junior @uiowa_mie major: https://t.co/0kxwrr1SiJ #ILookLikeAnEngineer https://t.co/6l5om99Iwj|,2009,Apr,False,4,False,0
#ILookLikeAnEngineer,UIowaEngr,|Meet Mariama Corneh, a junior @uiowa_mie major: https://t.co/0kxwrr1SiJ #ILookLikeAnEngineer https://t.co/6l5om99Iwj|,2010,Aug,False,4,False,7
#ILookLikeAnEngineer,richardsumich,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Mar,False,30,False,0
#ILookLikeAnEngineer,SasikumarDennis,|RT @cookstoves: Working on #cookstoves, it's good 2 have 2 #ILookLikeAnEngineer degrees! Go Neeraja Penumetcha http://t.co/KR033uWmFB http:…|,2015,Oct,False,7,False,0
#ILookLikeAnEngineer,UIowaEngr,RT @SarahVigmostad: Proud to join other @iowabme women in the #ILookLikeAnEngineer 2016 campaign celebrating #wmnhist #womenintech https://…,2010,Aug,False,2,False,0
#ILookLikeAnEngineer,gautamP68783144,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2016,Feb,False,30,False,0
#ILookLikeAnEngineer,edhillatiowa,RT @SarahVigmostad: Proud to join other @iowabme women in the #ILookLikeAnEngineer 2016 campaign celebrating #wmnhist #womenintech https://…,2009,Oct,False,2,False,0
#ILookLikeAnEngineer,suchitrabv,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Jan,False,30,False,0
#ILookLikeAnEngineer,SarahVigmostad,Proud to join other @iowabme women in the #ILookLikeAnEngineer 2016 campaign celebrating #wmnhist #womenintech https://t.co/8tn2GPu236,2014,Jan,False,2,False,6
#ILookLikeAnEngineer,ECEflorida,#ilooklikeanengineer @ECEFlorida Check out this article: Ming Yang: Enthusiasm Personified - https://t.co/kK0aKeQAkw,2012,Oct,False,0,False,0
#ILookLikeAnEngineer,jdesisto,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Jun,False,30,False,0
#ILookLikeAnEngineer,1quichelorraine,|RT @MissBurnheimer: #ILookLikeAnEngineer have you heard of @Roominate? Design, build, and create your own house, plane, etc! #STEMmerday ht…|,2009,Sep,False,7,False,0
#ILookLikeAnEngineer,simple8job,|RT @BurnsSheehan: For  #womenintech, it's been a so-so year https://t.co/wvzXDngaRk via @CNET #ilooklikeanengineer https://t.co/LAatm1SRhG|,2013,Aug,False,1,False,0
#ILookLikeAnEngineer,BurnsSheehan,|For  #womenintech, it's been a so-so year https://t.co/wvzXDngaRk via @CNET #ilooklikeanengineer https://t.co/LAatm1SRhG|,2010,Jul,False,1,False,2
#ILookLikeAnEngineer,pinktoolsnprls,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2012,Oct,False,9,False,0
#ILookLikeAnEngineer,BinarySoul_Ofcl,|Technology, to the future through equality #ILookLikeAnEngineer #iwd2016 @HeforSheES|,2014,Feb,False,0,False,0
#ILookLikeAnEngineer,MichelleDCullen,RT @InspirefestHQ: .@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isis…,2013,Mar,False,5,False,0
#ILookLikeAnEngineer,kapoor_amber,Catch up on my @Engr_Life. #ILookLikeAnEngineer  https://t.co/O5zr8RVL6Y,2016,Feb,False,0,False,0
#ILookLikeAnEngineer,sofimi,Time to update my post on sexism in the Philippine tech scene. https://t.co/uxSwoeTDMt #ILookLikeAnEngineer https://t.co/yBv40Q76k6,2006,Nov,False,0,False,1
#ILookLikeAnEngineer,delgeo1,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2011,Apr,False,12,False,0
#ILookLikeAnEngineer,neerajamb,|RT @cookstoves: Working on #cookstoves, it's good 2 have 2 #ILookLikeAnEngineer degrees! Go Neeraja Penumetcha http://t.co/KR033uWmFB http:…|,2009,Jul,False,7,False,0
#ILookLikeAnEngineer,HerSTEMCareer,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2015,May,False,9,False,0
#ILookLikeAnEngineer,AriValde,@ReignOfApril @ELLEmagazine Yes #BeingaBlackGirlIsLit and #ILookLikeAnEngineer but it just seemed odd to not have this huge hashtag on there,2010,Jan,False,0,False,0
#ILookLikeAnEngineer,AndreaZeek,Bringin' #ILookLikeAnEngineer back! Meet some of the awesome women at @UIowaEngr: https://t.co/YPhrRc9ufc https://t.co/s95dAWKKNQ,2009,Apr,False,0,False,3
#ILookLikeAnEngineer,honomicr,RT @ironhack: "Recently compiled statistics reinforce that girls believe computers are for other people." #ILookLikeAnEngineer https://t.co…,2008,Oct,False,3,False,0
#ILookLikeAnEngineer,sekinah_m,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2013,Aug,False,9,False,0
#ILookLikeAnEngineer,jackmulligan,RT @ironhack: "Recently compiled statistics reinforce that girls believe computers are for other people." #ILookLikeAnEngineer https://t.co…,2008,Jul,False,3,False,0
#ILookLikeAnEngineer,dshipley54,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2014,Sep,False,12,False,0
#ILookLikeAnEngineer,cavalenzu,RT @ironhack: "Recently compiled statistics reinforce that girls believe computers are for other people." #ILookLikeAnEngineer https://t.co…,2011,Aug,False,3,False,0
#ILookLikeAnEngineer,ironhack,"Recently compiled statistics reinforce that girls believe computers are for other people." #ILookLikeAnEngineer https://t.co/yRD1uOljYn,2013,Jun,False,3,False,1
#ILookLikeAnEngineer,HelenClifton8,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2015,Mar,False,12,False,0
#ILookLikeAnEngineer,cybereport,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2011,Apr,False,12,False,0
#ILookLikeAnEngineer,MaAiJuAh,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2011,Feb,False,12,False,0
#ILookLikeAnEngineer,HiramSipesh,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2013,Jan,False,12,False,0
#ILookLikeAnEngineer,NvdManzar,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2015,Dec,False,12,False,0
#ILookLikeAnEngineer,AttilaSn,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2011,Feb,False,12,False,0
#ILookLikeAnEngineer,HutchissonMike,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2013,Apr,False,12,False,0
#ILookLikeAnEngineer,FireWheels1970,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2012,Feb,False,12,False,0
#ILookLikeAnEngineer,cmbrookins,We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2009,Mar,False,12,False,53
#ILookLikeAnEngineer,TradWorker,There's also a startling overlap between feminist rock star icons and sexual harassment. #ILookLikeAnEngineer https://t.co/S34F1Ed4sy,2015,Oct,False,0,False,0
#ILookLikeAnEngineer,ammmye,bout to post a damn nude and hashtag #ILookLikeAnEngineer would that make everyones minds explode or what,2015,Oct,False,0,False,2
#ILookLikeAnEngineer,Mike_K_Spencer,State of #womenintech #WomensHistoryMonth #ILookLikeAnEngineer Coders &amp; Engineers in the US: https://t.co/DBeon14xLN,2014,Nov,False,0,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2016,Feb,False,30,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @WITWomen: From Silicon Valley to a basement startup, meet the women changing the face of #tech: https://t.co/WoZ87dFx5d #ILookLikeAnEng…|,2016,Feb,False,8,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2016,Feb,False,9,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @Zena_Zeus22: @MichelleGlauser I would love 2 help #ILookLikeAnEngineer. If U girls are interested🌺.  @NashvilleTenn is a hard place for…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @senorcthulhu: The exciting #ILookLikeAScientist session is about to start! Inspired by the #ILookLikeAnEngineer hashtag that went viral…,2016,Feb,False,1,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2016,Feb,False,12,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @ilooklikeaCE: Thank you Isis Anchalee for your contribution! @isisAnchalee @indiegogo #ILookLikeAnEngineer #ilooklikeace https://t.co/5…,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @InspirefestHQ: .@MichelleDCullen notes the powerful &amp; positive impact #ilooklikeanengineer has on challenging stereotypes #iwdccd @isis…,2016,Feb,False,5,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @CornellEng: So, what does an engineer look like? #ILookLikeAnEngineer https://t.co/0at0sVNZyF|,2016,Feb,False,9,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2016,Feb,False,86,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,|RT @ASMEdotorg: Meet Amy Chambers, an #engineer who's racing toward the future https://t.co/s1xH7JFigr #ILookLikeAnEngineer https://t.co/Si…|,2016,Feb,False,2,False,0
#ILookLikeAnEngineer,VCEIPOEngineers,RT @giqueme: "Engineers are not one size fits all." - @HelloDanio #ILookLikeAnEngineer https://t.co/eseBx91agx,2016,Feb,False,3,False,0
#ILookLikeAnEngineer,senorcthulhu,The exciting #ILookLikeAScientist session is about to start! Inspired by the #ILookLikeAnEngineer hashtag that went viral last year.,2010,Jun,False,1,False,2
#ILookLikeAnEngineer,ishaniroy_,|RT @BritneyMuller: "Don't be nervous. You're hot! No one expects you to do well," #Pubcon #GAMEON #ILookLikeAnEngineer|,2012,Sep,False,5,False,0
#ILookLikeAnEngineer,BiploveChamling,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Dec,False,30,False,0
#ILookLikeAnEngineer,ColangeloNathan,RT @Honeywell_Jobs: A global look at #ILookLikeAnEngineer: Our #Aussie #engineers Josie and Samata take part in @isisAnchalee's campaign: h…,2015,Aug,False,14,False,0
#ILookLikeAnEngineer,Zena_Zeus22,@MichelleGlauser I would love 2 help #ILookLikeAnEngineer. If U girls are interested🌺.  @NashvilleTenn is a hard place for a #SVEngineer 💞,2016,Jan,False,1,False,3
#ILookLikeAnEngineer,enkele,RT @FlingTheWorld: Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise http…,2009,Nov,False,5,False,0
#ILookLikeAnEngineer,yvonnesascott,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2009,Feb,False,9,False,0
#ILookLikeAnEngineer,SmallpeiceTrust,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2010,Jan,False,9,False,0
#ILookLikeAnEngineer,beason99,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2009,Jul,False,9,False,0
#ILookLikeAnEngineer,HumberUTC,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2014,Jan,False,9,False,0
#ILookLikeAnEngineer,icMICS,|RT @Stemettes: For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/6504…|,2015,Apr,False,9,False,0
#ILookLikeAnEngineer,Stemettes,|For women in tech, it's been a so-so year @womensday https://t.co/CSUABWAnnT #ilooklikeanengineer #IWD2016 https://t.co/65047UZKp7|,2012,Dec,False,9,False,10
#ILookLikeAnEngineer,GiuliaPastorell,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2011,Sep,False,30,False,0
#ILookLikeAnEngineer,pixcpolina,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2016,Mar,False,8,False,0
#ILookLikeAnEngineer,MathieuFlamant,"The Surprising Reasons Why Most Girls Don’t Code" by Teresa White (@twhite9574) https://t.co/9RG73cb7yJ #womenintech #ILookLikeAnEngineer,2009,Nov,False,0,False,0
#ILookLikeAnEngineer,EMEACloudGuy,RT @pinkyswearing: Here is my interview with CNET from last week about my role in the #ILookLikeAnEngineer campaign https://t.co/XSOwULiRvK,2012,Jan,False,8,False,0
#ILookLikeAnEngineer,danielemason,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Jan,False,30,False,0
#ILookLikeAnEngineer,r0nind,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2012,Jan,False,30,False,0
#ILookLikeAnEngineer,UpmaSharma4,Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/6Ze2dcxAea,2013,Aug,False,0,False,1
#ILookLikeAnEngineer,wehrs18,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2014,Jul,False,30,False,0
#ILookLikeAnEngineer,notebookhub,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2012,Apr,False,30,False,0
#ILookLikeAnEngineer,LoggheMD,|@DocBranden &amp; I'm grateful for her dad, an engineer who read her books so I had time to tweet! Maybe she'll say #ILookLikeAnEngineer|,2011,Aug,False,0,False,0
#ILookLikeAnEngineer,fredsters_s,It's like when all the big shit companies trotted out their women eng for #ILookLikeAnEngineer. In-credible.,2008,May,False,0,False,1
#ILookLikeAnEngineer,LoggheMD,|RT @RenataBeamanPT: My, how far we have come! And further to go still..... #ILookLikeASurgeon #ilooklikeaprofessor #ILookLikeAnEngineer  ht…|,2011,Aug,False,4,False,0
#ILookLikeAnEngineer,rhmmls,RT @FlingTheWorld: Break the sterotype #girlswhocode #girlsintech #ILookLikeAnEngineer. We're hiring a Lead #iosdev Msg @Tonita_louise http…,2011,Dec,False,5,False,0
#ILookLikeAnEngineer,WhitneyStanbury,RT @st_parkin: When is a compliment not a compliment?  How to approach a woman engineer in the real world. https://t.co/8vwMtTnEgC  #ILookL…,2013,May,False,4,False,0
#ILookLikeAnEngineer,Hopepatton13,|RT @WITadmissions: Our #WITSpiration this week is Hayley, learn about her co-op at ZOLL. #InternationalWomensDay #ILookLikeAnEngineer https…|,2013,Oct,False,3,False,0
#ILookLikeAnEngineer,gstewart,RT @Bigcommerce: Happy #InternationalWomensDay from the @BigEng team! #WomenWhoTech #ILookLikeAnEngineer #BigEng https://t.co/VoLUVH2Cqd,2007,Mar,False,8,False,0
#ILookLikeAnEngineer,sdaughe4,RT @LNcounsel: Ladies check out - Cracking the Code - https://t.co/269SGIxFdL via @tolerance_org #ilooklikeanengineer #girlsincomputerscien…,2015,Feb,False,1,False,0
#ILookLikeAnEngineer,LNcounsel,Ladies check out - Cracking the Code - https://t.co/269SGIxFdL via @tolerance_org #ilooklikeanengineer #girlsincomputerscience,2015,Feb,False,1,False,1
#ILookLikeAnEngineer,st_parkin,When is a compliment not a compliment?  How to approach a woman engineer in the real world. https://t.co/8vwMtTnEgC  #ILookLikeAnEngineer,2009,Apr,False,4,False,1
#ILookLikeAnEngineer,shardul_bist,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2016,Mar,False,30,False,0
#ILookLikeAnEngineer,BeccaAhlstrand,|If you don't go after your dreams, then what is your life really about? #iwd2016 #bossbabe #ILookLikeAnEngineer|,2013,Nov,False,0,False,0
#ILookLikeAnEngineer,nandythegreatz,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2012,Sep,False,30,False,0
#ILookLikeAnEngineer,boostkilla,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2011,Apr,False,12,False,0
#ILookLikeAnEngineer,munkee74,RT @Atkins_VickyS: #ILookLikeAnEngineer and I love my job #notjustforboys #YES4STEM @atkinsglobal http://t.co/cUlW2g96U4,2009,Oct,False,5,False,0
#ILookLikeAnEngineer,Tzeriel,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2009,Jul,False,12,False,0
#ILookLikeAnEngineer,eluxari_,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2014,Nov,False,12,False,0
#ILookLikeAnEngineer,CherylHowell20,RT @CNET: The #ILookLikeAnEngineer ad campaign aims to dispel the tech-professional stereotype http://t.co/fsgfG0ER2F http://t.co/45WtN1LyWT,2016,Jan,False,37,False,0
#ILookLikeAnEngineer,CherylHowell20,RT @pinkyswearing: Here is my interview with CNET from last week about my role in the #ILookLikeAnEngineer campaign https://t.co/XSOwULiRvK,2016,Jan,False,8,False,0
#ILookLikeAnEngineer,Shapingus,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2012,Jan,False,12,False,0
#ILookLikeAnEngineer,reillyusa,RT @pinkyswearing: Here is my interview with CNET from last week about my role in the #ILookLikeAnEngineer campaign https://t.co/XSOwULiRvK,2008,Jun,False,8,False,0
#ILookLikeAnEngineer,Hayley_Patton,|RT @WITadmissions: Our #WITSpiration this week is Hayley, learn about her co-op at ZOLL. #InternationalWomensDay #ILookLikeAnEngineer https…|,2011,Aug,False,3,False,0
#ILookLikeAnEngineer,TruskisPro,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2013,Jan,False,12,False,0
#ILookLikeAnEngineer,Bio_2552,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2015,Jun,False,12,False,0
#ILookLikeAnEngineer,pichaliiin,|RT @marcosc: My mom, Perl hacker, 20+ years sys analyst. Nuclear physicist. Started coding on punch cards! #iLookLikeAnEngineer http://t.co…|,2009,May,False,2093,False,0
#ILookLikeAnEngineer,SCRWD,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2008,Aug,False,12,False,0
#ILookLikeAnEngineer,GreenMountRepub,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Feb,False,30,False,0
#ILookLikeAnEngineer,explodedsoda,RT @cherlequin: For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t…,2008,Jan,False,12,False,0
#ILookLikeAnEngineer,salangela24,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2016,Mar,False,30,False,0
#ILookLikeAnEngineer,cherlequin,For #InternationalWomensDay the lovely @PamelaHorton13 challenged us to share #MyVictory. #ILookLikeAnEngineer. ♥ https://t.co/hgkjtOeGuu,2008,Aug,False,12,False,60
#ILookLikeAnEngineer,HPEDU,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2010,Jun,False,30,False,0
#ILookLikeAnEngineer,JasmineCruicks4,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Oct,False,30,False,0
#ILookLikeAnEngineer,qbizit,HP: RT hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/Uj8sYiVmfq #qbi…,2015,Feb,False,0,False,0
#ILookLikeAnEngineer,MichaeldeRoock,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2012,May,False,30,False,0
#ILookLikeAnEngineer,KeystoneIDEAS,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Jan,False,30,False,0
#ILookLikeAnEngineer,niknik1971,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Mar,False,30,False,0
#ILookLikeAnEngineer,HenR_ict,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2011,Sep,False,30,False,0
#ILookLikeAnEngineer,JerryTegg,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Jul,False,30,False,0
#ILookLikeAnEngineer,DylanBradfield,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Dec,False,30,False,0
#ILookLikeAnEngineer,littlebluepixel,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2008,Nov,False,30,False,0
#ILookLikeAnEngineer,littlebitsofall,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2009,Feb,False,30,False,0
#ILookLikeAnEngineer,HP,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2008,Nov,False,30,False,0
#ILookLikeAnEngineer,angiejacome10,RT @hplabs: Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2013,Jan,False,30,False,0
#ILookLikeAnEngineer,DamianoMe,RT @iamjeffthornton: @isisAnchalee fantastic job on getting the word out for women in tech/engineering! I really love the #ILookLikeAnEngin…,2015,Apr,False,6,False,0
#ILookLikeAnEngineer,hplabs,Celebrating our very talented women researchers on #IWD2016. #womenintech #ILookLikeAnEngineer https://t.co/MvDZyhRQXn,2015,Oct,False,30,False,64
#ILookLikeAnEngineer,DamianoMe,RT @EricaJoy: Full house at the #ILookLikeAnEngineer event tonight. @isisAnchalee currently sharing her experiences. http://t.co/0H8NrhiaGN,2015,Apr,False,15,False,0
#ILookLikeAnEngineer,Dulcerengel,|RT @RenataBeamanPT: My, how far we have come! And further to go still..... #ILookLikeASurgeon #ilooklikeaprofessor #ILookLikeAnEngineer  ht…|,2010,May,False,4,False,0
#ILookLikeAnEngineer,DrKathyHughes,|RT @RenataBeamanPT: My, how far we have come! And further to go still..... #ILookLikeASurgeon #ilooklikeaprofessor #ILookLikeAnEngineer  ht…|,2012,Oct,False,4,False,0
#ILookLikeAnEngineer,Class_Act_80,RT @Ruby_B_Johnson: Happy International Women's Day! #IWD2016 #WomensDay #WomensMonth #Planet5050 #ILookLikeAnEngineer #empoweredwoman http…,2014,Jun,False,2,False,0
