Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,p4ulo3dson,|RT @MichelleGlauser: New programming playing cards! ♣️♦️♠️♥️ Thanks, @michaelctsai. Source='https://t.co/OylAiSErZr' #ILookLikeAnEngineer h…|,2012,Oct,False,4,False,0
#ILookLikeAnEngineer,Cooper_Admiss,Crowd at @nycfirst is hyped! #nycfirst2016 #cooperunion #ilooklikeanengineer #robotics @ Jacob K… https://t.co/L3bbQp4jwJ,2009,Jun,False,1,False,1
#ILookLikeAnEngineer,MarishaSHodge,Graduated from Hackbright! Looking for a great opportunity as a software engineer. #hackbright #ILookLikeAnEngineer https://t.co/vU1jqOQ3Mj,2015,Dec,False,1,False,10
#ILookLikeAnEngineer,gaedepa,|Our superpower? Engineers by day, dancers by night 👊🏼 #ILookLikeAnEngineer #ImAnEngineerBitch #WomenInSTEM #girlpow… https://t.co/rHH8pst4tx|,2010,Jun,False,0,False,0
#ILookLikeAnEngineer,AmieCafferty,The Top 15 Cities for #womenintech in the USA. https://t.co/s1s4dGk76k  #startup #entrepreneur #ILookLikeanEngineer https://t.co/D75xbdthUq,2011,Nov,False,0,False,5
#ILookLikeAnEngineer,nassersahlool,Gender neutral #denmark shows how to fix imbalance in tech: https://t.co/TRhKrKb8lH  #ILookLikeAnEngineer #likeagirl https://t.co/ZpMHHPsAyW,2008,Oct,False,0,False,1
#ILookLikeAnEngineer,botminik,|I really like #ILookLikeAnEngineer - because not all engineers are engineers, too.|,2015,Feb,False,0,False,0
#ILookLikeAnEngineer,LThampi,|#iLookLikeAnEngineer: ‘Pursue your passions and what challenges you’, says Nimbus engineer  https://t.co/Yway8KapwE|,2009,Jul,False,0,False,0
#ILookLikeAnEngineer,Salma_Begum,RT @ImperialBioeng: 8 women @ImperialCollege making a difference. 1 thing in common…they're all Mechanical Engineers #ILookLikeAnEngineer h…,2013,Nov,False,40,False,0
#ILookLikeAnEngineer,jneen_,RT @jneebooks: #ILookLikeAnEngineer but not yes,2008,Jun,False,1,False,0
#ILookLikeAnEngineer,jneebooks,#ILookLikeAnEngineer but not yes,2014,Nov,False,1,False,2
#ILookLikeAnEngineer,ICEastmidschair,|RT @WomanthologyUK: Find out more about Abbie's role here:
https://t.co/YMhZKFHGQg
#NotJustForBoys #ILookLikeAnEngineer https://t.co/LX5JUq…|,2015,Nov,False,1,False,0
#ILookLikeAnEngineer,alcardil,@EmWatson what are your thought/comments on #ILookLikeAnEngineer?,2011,Feb,False,0,False,0
#ILookLikeAnEngineer,Arisbetty17,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2013,Jul,False,15,False,0
#ILookLikeAnEngineer,terriwonglee,The JavaScript gang #Hackbright #ILookLikeAnEngineer #Thirteeneers https://t.co/SbDI0zl4V3,2010,Sep,False,1,False,11
#ILookLikeAnEngineer,herbmushroom,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2010,Mar,False,15,False,0
#ILookLikeAnEngineer,uv_memory,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2013,Oct,False,15,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,The Top 15 Cities for #womenintech in the USA. https://t.co/X9A7fkJBRX  #startup #entrepreneur #ILookLikeanEngineer https://t.co/LxssTSER3g,2014,Nov,False,0,False,0
#ILookLikeAnEngineer,Mike_K_Spencer,|Women in Tech #Reloaded
#millennials #womenintech #siliconvalley #genderequity @LinkedInPulse  #ILookLikeAnEngineer https://t.co/MWl8QT1hgm|,2014,Nov,False,0,False,2
#ILookLikeAnEngineer,WomanthologyUK,|Find out more about Abbie's role here:
https://t.co/YMhZKFHGQg
#NotJustForBoys #ILookLikeAnEngineer https://t.co/LX5JUqaaHj|,2013,Jul,False,1,False,1
#ILookLikeAnEngineer,shannon_carter,RT @GoogleAppsDev: Behind the scenes with the Google Apps Script engineering team #ilooklikeanengineer http://t.co/B5UL6AZdFV,2008,May,False,39,False,0
#ILookLikeAnEngineer,DaphneeLucenet,|@isisAnchalee Thanks for the retweet, I like the message you've managed to carry with #ILookLikeAnEngineer :) keep it up|,2012,Jul,False,0,False,2
#ILookLikeAnEngineer,brudymcd,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2012,Mar,False,16,False,0
#ILookLikeAnEngineer,JoeanselmanJoe,RT @DBC_EmilyM: I have a B.S. in Chem &amp; Bio Engineering and design fuel measurement solutions for ships. #ILookLikeAnEngineer http://t.co/3…,2015,Jan,False,67,False,0
#ILookLikeAnEngineer,smcpeers,RT @WomanthologyUK: Celebrating female heroines to help us redefine #engineering for women https://t.co/R8UACVyROj #ILookLikeAnEngineer htt…,2010,Aug,False,86,False,0
#ILookLikeAnEngineer,JoselinRuns,RT @Ana_the_great24: Gonna miss building bots and memories w/them. #WeLookLikeEngineers #ILookLikeAnEngineer #team597 @FIRSTweets #frc http…,2016,Mar,False,5,False,0
#ILookLikeAnEngineer,LucyVegaSOLE,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2014,Sep,False,15,False,0
#ILookLikeAnEngineer,twainus,#OneDayIWill - 3 female USF Machine Learning students plot the stars! #ILookLikeAnEngineer #GirlsWhoCode https://t.co/qLmuovrv4J,2012,Apr,False,0,False,1
#ILookLikeAnEngineer,ChantellDawnSny,|RT @RepresentPledge: Awesome initiative, #ElizabethOlsen and @EmilyVanCamp! #MissRepresentation #ILookLikeAnEngineer #STEM https://t.co/SKS…|,2011,Sep,False,5,False,0
#ILookLikeAnEngineer,michaelctsai,|RT @MichelleGlauser: New programming playing cards! ♣️♦️♠️♥️ Thanks, @michaelctsai. Source='https://t.co/OylAiSErZr' #ILookLikeAnEngineer h…|,2011,Jul,False,4,False,0
#ILookLikeAnEngineer,weems,|RT @MichelleGlauser: New programming playing cards! ♣️♦️♠️♥️ Thanks, @michaelctsai. Source='https://t.co/OylAiSErZr' #ILookLikeAnEngineer h…|,2006,Dec,False,4,False,0
#ILookLikeAnEngineer,MichelleGlauser,|New programming playing cards! ♣️♦️♠️♥️ Thanks, @michaelctsai. Source='https://t.co/OylAiSErZr' #ILookLikeAnEngineer https://t.co/2A9IBLoZXw|,2011,Jan,False,4,False,11
#ILookLikeAnEngineer,tummeley,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2012,Jan,False,16,False,0
#ILookLikeAnEngineer,kevinwx98,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2012,Dec,False,15,False,0
#ILookLikeAnEngineer,nidhik82,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2011,Mar,False,15,False,0
#ILookLikeAnEngineer,rkasper,|RT @davidakoontz: Women write better code, study suggests - BBC News #ILookLikeAnEngineer https://t.co/qpUrtvy37M|,2008,Apr,False,0,False,0
#ILookLikeAnEngineer,judgeandparty,|RT @isisAnchalee: So much brains, strength and beauty in one photo ✨💜 #ILookLikeAnEngineer because #iamanengineerbitch https://t.co/Jh3ErYK…|,2011,Feb,False,15,False,0
#ILookLikeAnEngineer,swissspidy,|RT @DaphneeLucenet: How many times have I heard "You don't look like an engineer!", there we go pals :) ! #ILookLikeAnEngineer http://t.co/…|,2008,Jan,False,16,False,0
