Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#StemGirls,_workingmother_,Supporting #STEMgirls - is it rocket science? https://t.co/NPTyMS3pTX #workmom #girlsinSTEM @AAUW https://t.co/A872Xb9A8k,2009,May,FALSE,7,FALSE,2
#StemGirls,geektrooper,RT @sonsofgeekery: Excellent news! #STEMGirls https://t.co/PiV8bHVMtV,2009,Mar,FALSE,1,FALSE,0
#StemGirls,sonsofgeekery,Excellent news! #STEMGirls https://t.co/PiV8bHVMtV,2014,Jan,FALSE,1,FALSE,1
#StemGirls,Aggiechic8,@POTUS Martin's Innovation Academy students are feeding their STEM minds! #ourfuture #STEM #stemgirls #SXCreate https://t.co/idADfnvSTF,2015,Feb,FALSE,0,FALSE,0
#StemGirls,ashleyOOacevedo,#code day 2: Today was about Elements and Attributes. Very interesting and should come in handy. #GirlsWhoCode #STEMgirls #AshleyCodes,2012,Nov,FALSE,0,FALSE,1
#StemGirls,trishb1,"RT @GirlsInTech_WIT: ""Find what you're passionate about and pour yourself into it. The other stuff works itself out."" - Dr. Connie Thomas #…",2008,Jul,FALSE,2,FALSE,0
#StemGirls,J5WDC,"RT @GirlsInTech_WIT: ""Find what you're passionate about and pour yourself into it. The other stuff works itself out."" - Dr. Connie Thomas #…",2013,Sep,FALSE,2,FALSE,0
#StemGirls,familyfocusblog,RT @FortBoards: #internationalwomensday Thank orgs like @aauw for addressing #STEM ed discrepency #stemgirls #ilooklikeanengineer https://t…,2009,Nov,FALSE,1,FALSE,0
#StemGirls,ashleyOOacevedo,"|1st day of #code was very successful! Can't wait for day 2! My progress will be chronicled here, so don't miss it.",,,,,,
#StemGirls,InfoParents,RT @_workingmother_: Join our editor Jennifer Owens right now! #girlsinstem #stemgirls @working_mother https://t.co/9Rtq9Vcvwc,2014,Oct,FALSE,1,FALSE,0
#StemGirls,mfonderkaye,RT @working_mother: Join me! #girlsinstem #STEMgirls https://t.co/jf81gVD0lo,2008,Aug,FALSE,1,FALSE,0
#StemGirls,working_mother,Join me! #girlsinstem #STEMgirls https://t.co/jf81gVD0lo,2008,Nov,FALSE,1,FALSE,2
#StemGirls,_workingmother_,Join our editor Jennifer Owens right now! #girlsinstem #stemgirls @working_mother https://t.co/9Rtq9Vcvwc,2009,May,FALSE,1,FALSE,3
#StemGirls,DrRebec,"Fantastic STEM training day at @BAESystemsInc. Loads of career options for #stemgirls. Plus, fighter jets are freaking awesome!",2016,Mar,FALSE,0,FALSE,0
#StemGirls,sky_yyyyyyy,RT @PhySciJMAST: Let's inspire the next #generation of #WomenInSTEM by #celebrating daily #IWD2016 #mast1516 #stemgirls #stemchat  https://…,2016,Mar,FALSE,19,FALSE,0
#StemGirls,GirlsInTech_WIT,Find what you're passionate about and pour yourself into it. The other stuff works itself out. - Dr. Connie Thomas #GITtalks #stemgirls,2011,Oct,FALSE,2,FALSE,2
#StemGirls,xobaluja,RT @PhySciJMAST: Let's inspire the next #generation of #WomenInSTEM by #celebrating daily #IWD2016 #mast1516 #stemgirls #stemchat  https://…,2015,Oct,FALSE,19,FALSE,0
#StemGirls,MarlaTerry1,Powerful video shows what happens when we don’t teach women’s history https://t.co/tIY1JywmcT via @HuffPostWomen #GirlPower #STEMgirls,2012,Jun,FALSE,0,FALSE,0
#StemGirls,ProjScientist,Toured @UCIrvine #engineering labs 2day! Impressive #creative #drowns in the house! Hope 2 get R #stemgirls here! https://t.co/dqs95klDyU,2013,Jan,FALSE,0,FALSE,2
#StemGirls,Keri69020495,RT @alstonprimaryb9: #Careersday Hannah Plant Aerospace Engineer with Year5 #STEMgirls #IWD2016 https://t.co/NWro4lJdfG,2015,Oct,FALSE,1,FALSE,0
#StemGirls,AnsoleagaAndrew,RT @PhySciJMAST: Let's inspire the next #generation of #WomenInSTEM by #celebrating daily #IWD2016 #mast1516 #stemgirls #stemchat  https://…,2016,Mar,FALSE,19,FALSE,0
#StemGirls,LynnRoseberry,#STEMgirls need each other and adult role models. https://t.co/ovn4trj9zD,2011,Jul,FALSE,0,FALSE,0
#StemGirls,StMarysDerryTD,@SMDScience it's my favourite Year 9 class 934! #STEMgirls,2014,Jan,FALSE,0,FALSE,2
#StemGirls,ProjScientist,CURIOUS about Project Scientist? Watch us in action https://t.co/TNyH81Jecr #STEM #STEMGirls,2013,Jan,FALSE,0,FALSE,0
#StemGirls,garliacornelia,It was a @goldieblox morning home sick from school.  😷#goldieblox #stemgirls https://t.co/VRC4i66X0m,2011,Jun,FALSE,0,FALSE,0
#StemGirls,mtromblee1,RT @DianaLRendina: Our #STEMgirls love Dash &amp; Dot #stewartmakes @_wonderworkshop https://t.co/bVYg6NJNmH https://t.co/OkKTxQSPYZ,2010,Dec,FALSE,1,FALSE,0
#StemGirls,mrnavas,RT @DianaLRendina: We love Dash's xylophone :) #STEMgirls #stewartmakes @_wonderworkshop https://t.co/N3gXw8O9mQ https://t.co/6RSNAbGE2B,2008,Aug,FALSE,1,FALSE,0
#StemGirls,DianaLRendina,We love Dash's xylophone :) #STEMgirls #stewartmakes @_wonderworkshop https://t.co/N3gXw8O9mQ https://t.co/6RSNAbGE2B,2013,Aug,FALSE,1,FALSE,2
#StemGirls,DianaLRendina,Our #STEMgirls love Dash &amp; Dot #stewartmakes @_wonderworkshop https://t.co/bVYg6NJNmH https://t.co/OkKTxQSPYZ,2013,Aug,FALSE,1,FALSE,3
#StemGirls,Afdepaz,RT @PhySciJMAST: Let's inspire the next #generation of #WomenInSTEM by #celebrating daily #IWD2016 #mast1516 #stemgirls #stemchat  https://…,2015,Dec,FALSE,19,FALSE,0
#StemGirls,_workingmother_,@subhabarry on Raising a STEM Daughter: Tips to Encourage Math and Science https://t.co/qQC2k9mjOZ #STEMgirls @,2009,May,FALSE,0,FALSE,0
#StemGirls,100GirlsofCode,"RT @GadgetSoftware: We are happy to be partnering with @100GirlsofCode, on this momentous Women's Day! #Edtech #STEMgirls #STEM https://t.c…",2014,Feb,FALSE,1,FALSE,0
#StemGirls,PhySciJMAST,Let's inspire the next #generation of #WomenInSTEM by #celebrating daily #IWD2016 #mast1516 #stemgirls #stemchat  https://t.co/iwGmN6zjXa,2015,Sep,FALSE,19,FALSE,92
#StemGirls,Courtney_Thyme,"@CCSSTEM @CCHSSTEM Feel so excited to have great, passionate high school teachers for my #STEMgirls https://t.co/K2Up13WK1E",2014,Jan,FALSE,0,FALSE,1
#StemGirls,jenhlyon,4 of my best 6th grade leaders are trying to earn funds for a STEM leadership summit. Please help them #stemgirls  https://t.co/ERumdYmdJz,2015,Feb,FALSE,1,FALSE,0
#StemGirls,popup_news_uk,RT @Sophie_Dishman: NEW POST: I like STEM subjects and that’s okay. #stemgirls #IWD2016 #InternationalWomensDay https://t.co/tKetUV1Af1 htt…,2014,Nov,FALSE,1,FALSE,0
#StemGirls,GadgetSoftware,"We are happy to be partnering with @100GirlsofCode, on this momentous Women's Day! #Edtech #STEMgirls #STEM https://t.co/hnpsE0Ois5",2014,Dec,FALSE,1,FALSE,2
#StemGirls,Sophie_Dishman,NEW POST: I like STEM subjects and that’s okay. #stemgirls #IWD2016 #InternationalWomensDay https://t.co/tKetUV1Af1 https://t.co/BRDC8Eacvr,2013,Jul,FALSE,1,FALSE,2
#StemGirls,pmarignani,Thank you for your dedication and work promoting #STEMwomen #stemgirls #womeninscience #IWD2016 👍🏼 https://t.co/iaezYi9w9P,2009,Apr,FALSE,0,FALSE,0
#StemGirls,ProjScientist,Are you a #STEM Superstar? Mentor our #STEMgirls https://t.co/07SaaXIH0H,2013,Jan,FALSE,0,FALSE,0
